Index,ID,x,y,Region,Source,Species,Presence
229,CBNA_413147,5.9453,46.2523,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
230,CBNA_413174,5.99717,46.3355,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
231,CBNA_413182,5.94063,46.2605,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
232,CBNA_413200,5.94567,46.2498,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
233,CBNA_413220,6.02199,46.3683,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
234,CBNA_413276,6.04685,46.3692,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
235,CBNA_413329,5.93096,46.2752,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
236,CBNA_413350,6.03007,46.316,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
237,CBNA_413476,6.05207,46.3739,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
238,CBNA_413547,5.10127,45.8249,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
239,CBNA_413849,5.88475,46.1298,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
240,CBNA_413851,5.88943,46.0986,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
241,CBNA_413873,5.56261,45.7775,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
242,CBNA_413877,5.10896,45.8335,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
243,CBNA_413908,5.46822,46.082,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
244,CBNA_413925,5.8931,46.2482,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
245,CBNA_413955,5.63907,45.7861,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
246,CBNA_413971,5.7976,45.8581,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
247,CBNA_413999,5.72039,46.1186,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
248,CBNA_414013,5.56818,45.9669,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
249,CBNA_414043,5.89232,46.1205,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
250,CBNA_414052,5.52407,45.7375,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
251,CBNA_414053,5.52539,45.7374,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
252,CBNA_414054,5.21722,45.8115,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
253,CBNA_414059,5.20984,45.7945,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
254,CBNA_414090,5.48531,45.7838,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
255,CBNA_414092,5.48323,45.7679,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
